OBJECTID,Join_Count,TARGET_FID,Type,County,Name,email,phone,WebSite,County_Dir,district,Address1,Address2,City,Zip,addresses,origAddres,X,Y,address,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME_1,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
,,,UGA Site Loc,,Garden View Funeral Home,,,,,,,,,,"605 605 Olympic Drive, Athens, GA, 30601",,-83.3447906,33.9672875,,13,59,1672699,13059,Clarke,Clarke County,6,H6,G4020,,12020,,C,308738478,4741270,33.9521852,-83.3671522
,,,UGA Site Loc,,Hill Chapel Baptist,,,,,,,,,,"1962 1692 W. Hancock Ave, Athens, GA, 30606",,-83.398539,33.951542,,13,59,1672699,13059,Clarke,Clarke County,6,H6,G4020,,12020,,C,308738478,4741270,33.9521852,-83.3671522
,,,UGA Site Loc,,Nelly B. Community Center,,,,,,,,,,"200 200 Zatella Lane, Athens, GA, 30606",,-83.3522445,33.9583567,,13,59,1672699,13059,Clarke,Clarke County,6,H6,G4020,,12020,,C,308738478,4741270,33.9521852,-83.3671522
,,,UGA Site Loc,,New Covenant Worship Center,,,,,,,,,,"1425 1425 Newton Bridge Road, Athens, GA, 30607",,-83.409927,34.020016,,13,59,1672699,13059,Clarke,Clarke County,6,H6,G4020,,12020,,C,308738478,4741270,33.9521852,-83.3671522
,,,UGA Site Loc,,Parkview Apartments,,,,,,,,,,"S. Finley Street, Athens, GA, 30605",,-83.3813976,33.9521183,,13,59,1672699,13059,Clarke,Clarke County,6,H6,G4020,,12020,,C,308738478,4741270,33.9521852,-83.3671522
,,,UGA Site Loc,,Athens Neighborhood Health Center,,,,,,,,,,"402 402 McKinley Drive, Athens, GA, 30601",,-83.3547125,33.9585109,,13,59,1672699,13059,Clarke,Clarke County,6,H6,G4020,,12020,,C,308738478,4741270,33.9521852,-83.3671522
,,,UGA Site Loc,,Tranquility House,,,,,,,,,,"501 N Museum Drive, Cartersville, GA, 30120",,-84.7962474,34.1683192,,13,15,351604,13015,Bartow,Bartow County,6,H1,G4020,122,12060,,A,1190219094,27368340,34.2409175,-84.8381879
,,,UGA Site Loc,,Gilmer Public Library,,,,,,,,,,"268 Calvin Jackson Drive, Ellijay, GA, 30540",,-84.5059467,34.6856833,,13,123,351260,13123,Gilmer,Gilmer County,6,H1,G4020,,,,A,1104289499,12186867,34.6905413,-84.4539838
,,,UGA Site Loc,,Society o St. Vincent De Paul,,,,,,,,,,"4871 Memorial Drive, Stone Mountain, GA, 30083",,-84.2314197,33.7875471,,13,89,1687424,13089,DeKalb,DeKalb County,6,H1,G4020,122,12060,,A,693052824,9201253,33.7706611,-84.2263431
,,,UGA Site Loc,,"K.D. Moore Community Development, Inc.",,,,,,,,,,"3999 Church Street, Clarkston, GA, 30021",,-84.2377286,33.8112429,,13,89,1687424,13089,DeKalb,DeKalb County,6,H1,G4020,122,12060,,A,693052824,9201253,33.7706611,-84.2263431
,,,UGA Site Loc,,Fairfield Baptist Church,,,,,,,,,,"6133 Redan Road, Lithonia, GA, 30088",,-84.1478007,33.7462964,,13,89,1687424,13089,DeKalb,DeKalb County,6,H1,G4020,122,12060,,A,693052824,9201253,33.7706611,-84.2263431
,,,UGA Site Loc,,Berean Christian Church,,,,,,,,,,"2201 Young Road, Stone Mountain, GA, 30088",,-84.1716305,33.7385944,,13,89,1687424,13089,DeKalb,DeKalb County,6,H1,G4020,122,12060,,A,693052824,9201253,33.7706611,-84.2263431
,,,UGA Site Loc,,The Gardens Apartments,,,,,,,,,,"1870 Campbellton Rd, Atlanta, GA, 30311",,-84.448482,33.707414,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,The Society of St. Vincent de Paul Georgia,,,,,,,,,,"1700 Lakewood Avenue SE, Atlanta, GA, 30315",,-84.379716,33.7077459,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,Jonesboro Farmers Market,,,,,,,,,,"155 Lee Street, Jonesboro, GA, 30236",,-84.3571354,33.525481,,13,63,1672399,13063,Clayton,Clayton County,6,H1,G4020,122,12060,,A,366748529,7063449,33.5426863,-84.3555727
,,,UGA Site Loc,,Georgia Mountains Health - Ellijay,,,,,,,,,,"772 Maddox Drive, #122, Ellijay, GA, 30540",,-84.4818591,34.6779748,,13,123,351260,13123,Gilmer,Gilmer County,6,H1,G4020,,,,A,1104289499,12186867,34.6905413,-84.4539838
,,,UGA Site Loc,,"Christian League for Battered Women, Inc.",,,,,,,,,,"P.O. Box 1383, Cartersville, GA, 30120",,-84.7999382,34.1650972,,13,15,351604,13015,Bartow,Bartow County,6,H1,G4020,122,12060,,A,1190219094,27368340,34.2409175,-84.8381879
,,,UGA Site Loc,,Shrine of the Black Madonna,,,,,,,,,,"946 Ralph David Abernathy Boulevard, Atlanta, GA, 30310",,-84.4187557,33.7378294,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,Berean Seventh Day Adventist Church,,,,,,,,,,"291 Hamilton E. Holmes Drive, Atlanta, GA, 30331",,-84.469533,33.763029,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,Mt. Vernon Baptist Church,,,,,,,,,,"815 Lynhurst Drive, Atlanta?30311, GA, Fulton",,-84.4893097,33.7336857,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,Allen Temple AME Church,,,,,,,,,,"1625 Simpson Road, Atlanta, GA, 30314",,-84.4419238,33.7642328,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,Quest Community Development?878,,,,,,,,,,"Rock Street Atlanta, 30314, GA, Fulton",,-84.4077983,33.7621472,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,Hillside International Truth Center,,,,,,,,,,"2450 Cascade Road, Atlanta, GA, 30311",,-84.4675114,33.7200645,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,Palmetto Neighborhood Senior Center,,,,,,,,,,"510 Turner Avenue, Palmetto, GA, 30268",,-84.668622,33.524806,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,St. Mark AME Church,,,,,,,,,,"3605 Campbellton Road, Atlanta, GA, 30331",,-84.5067339,33.6907688,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,Barge Road Senior Highrise,,,,,,,,,,"2440 Barge Road, Atlanta, GA, 30331",,-84.5057915,33.6884189,,13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
,,,UGA Site Loc,,Stephenson High School,,,,,,,,,,"701 Stephenson Rd, Stone Mountain, GA, 30087",,-84.1245479,33.7745962,,13,89,1687424,13089,DeKalb,DeKalb County,6,H1,G4020,122,12060,,A,693052824,9201253,33.7706611,-84.2263431
,,,UGA Site Loc,,Elizabeth Andrews High School,,,,,,,,,,"1701 Mountain Industrial Blvd, Stone Mountain, GA, 30083",,-84.1946526,33.8325897,,13,89,1687424,13089,DeKalb,DeKalb County,6,H1,G4020,122,12060,,A,693052824,9201253,33.7706611,-84.2263431
,,,UGA Site Loc,,Stone Mountain High School,,,,,,,,,,"4555 Central Dr, Stone Mountain, GA, 30083",,-84.2020222,33.8106076,,13,89,1687424,13089,DeKalb,DeKalb County,6,H1,G4020,122,12060,,A,693052824,9201253,33.7706611,-84.2263431
,,,UGA Site Loc,,Appling County Extension,,,,,,,,,,"83 Oak St., Baxley, GA, 31513",,-82.3452206,31.7761805,,13,1,349113,13001,Appling,Appling County,6,H1,G4020,,,,A,1313330435,13420894,31.739712,-82.2901025
,,,UGA Site Loc,,Bacon County Extension,,,,,,,,,,"203 S. Dixon St., Alma, GA, 31510",,-82.4690987,31.541187,,13,5,344784,13005,Bacon,Bacon County,6,H1,G4020,,,,A,670556131,69720651,31.5633274,-82.3878591
,,,UGA Site Loc,,Baker County Extension,,,,,,,,,,"398 GA Hwy 37 SW, Newton, GA, 39870",,-84.3489673,31.3117906,,13,7,342832,13007,Baker,Baker County,6,H1,G4020,,10500,,A,885630009,18634073,31.3195798,-84.4548812
,,,UGA Site Loc,,Baldwin County Extension,,,,,,,,,,"320 Linda Drive NE, Milledgeville, GA, 31061",,-83.2296083,33.1011862,,13,9,345255,13009,Baldwin,Baldwin County,6,H1,G4020,,33300,,A,669822405,25008132,33.0595037,-83.2554522
,,,UGA Site Loc,,Banks County Extension,,,,,,,,,,"413 Evans St., Homer, GA, 30547",,-83.500085,34.3228208,,13,11,349230,13011,Banks,Banks County,6,H1,G4020,,,,A,601112294,4651147,34.3519216,-83.4984409
,,,UGA Site Loc,,Barrow County Extension,,,,,,,,,,"90 Lanthier Street, Winder, GA, 30680",,-83.7231098,33.9860744,,13,13,356976,13013,Barrow,Barrow County,6,H1,G4020,122,12060,,A,415375392,6640880,33.9920094,-83.7123025
,,,UGA Site Loc,,Ben Hill County Extension,,,,,,,,,,"406 West Palm Street, Fitzgerald, GA, 31750",,-83.2589221,31.7097826,,13,17,351606,13017,Ben Hill,Ben Hill County,6,H1,G4020,,22340,,A,647809289,9807002,31.7407755,-83.1471898
,,,UGA Site Loc,,Berrien County Extension,,,,,,,,,,"516A County Farm Rd, Suite 1, Nashville, GA, 31639",,-83.2648644,31.1917453,,13,19,326638,13019,Berrien,Berrien County,6,H1,G4020,,,,A,1170431627,15479200,31.274308,-83.2319058
,,,UGA Site Loc,,Bibb County Extension,,,,,,,,,,"145 First Street, Macon, GA, 31201",,-83.6279737,32.840958,,13,21,1672039,13021,Bibb,Bibb County,6,H1,G4020,356,31420,,A,646881214,14512477,32.8088443,-83.6941934
,,,UGA Site Loc,,Bleckley County Extension,,,,,,,,,,"165 E. Peacock St., Cochran, GA, 31014",,-83.3453565,32.3857661,,13,23,347451,13023,Bleckley,Bleckley County,6,H1,G4020,,,,A,559100207,8447351,32.4354034,-83.3317174
,,,UGA Site Loc,,Brooks County Extension,,,,,,,,,,"400 East Courtland Avenue, Quitman, GA, 31643",,-83.5553169,30.7981793,,13,27,345518,13027,Brooks,Brooks County,6,H1,G4020,,46660,,A,1277108510,12188429,30.8229337,-83.5819054
,,,UGA Site Loc,,Bryan County Extension,,,,,,,,,,"131 N. College St., Pembroke, GA, 31321",,-81.621871,32.1375102,,13,29,350496,13029,Bryan,Bryan County,6,H1,G4020,496,42340,,A,1129165098,47870064,32.0179692,-81.4385431
,,,UGA Site Loc,,Bulloch County Extension,,,,,,,,,,"151 Langston Chapel Rd., Statesboro, GA, 30458",,-81.8078041,32.3993354,,13,31,350302,13031,Bulloch,Bulloch County,6,H1,G4020,,44340,,A,1742659416,40872090,32.3934083,-81.7438099
,,,UGA Site Loc,,Calhoun County Extension,,,,,,,,,,"10971 Dickey Street, Morgan, GA, 39866",,-84.6007479,31.5370102,,13,37,344074,13037,Calhoun,Calhoun County,6,H1,G4020,,,,A,726147297,8315728,31.521279,-84.6262895
,,,UGA Site Loc,,Camden County Extension,,,,,,,,,,"1409 Georgia Ave., Woodbine, GA, 31569",,-81.7173599,30.9556674,,13,39,1671316,13039,Camden,Camden County,6,H1,G4020,,41220,,A,1588171685,436849688,30.9133473,-81.6420006
,,,UGA Site Loc,,Candler County Extension,,,,,,,,,,"1075 E. Hiawatha St., Suite B, Metter, GA, 30439",,-82.0380196,32.3914167,,13,43,342852,13043,Candler,Candler County,6,H1,G4020,,,,A,629495388,15043723,32.4039971,-82.07131
,,,UGA Site Loc,,Charlton County Extension,,,,,,,,,,"55 Kingsland Dr., Folkston, GA, 31537",,-82.0030184,30.832041,,13,49,357747,13049,Charlton,Charlton County,6,H1,G4020,,,,A,2003652477,22681772,30.7799036,-82.1396442
,,,UGA Site Loc,,Cherokee County Extension,,,,,,,,,,"1130 Bluffs Pkwy, Canton, GA, 30114",,-84.4714881,34.2679355,,13,57,1685718,13057,Cherokee,Cherokee County,6,H1,G4020,122,12060,,A,1092141193,32963099,34.2443166,-84.4750574
,,,UGA Site Loc,,Clarke County Extension,,,,,,,,,,"2152 West Broad Street, Athens, GA, 30606",,-83.4069996,33.9508839,,13,59,1672699,13059,Clarke,Clarke County,6,H6,G4020,,12020,,C,308738478,4741270,33.9521852,-83.3671522
,,,UGA Site Loc,,Clinch County Extension,,,,,,,,,,"313 West Dame Ave., Suite A, Homerville, GA, 31634",,-82.7526085,31.0351222,,13,65,351285,13065,Clinch,Clinch County,6,H1,G4020,,,,A,2072566627,61565581,30.9176531,-82.7026143
,,,UGA Site Loc,,Coffee County Extension,,,,,,,,,,"709 E. Ward St., Douglas, GA, 31533",,-82.8411818,31.5087589,,13,69,347456,13069,Coffee,Coffee County,6,H1,G4020,,20060,,A,1490019179,70837644,31.5492446,-82.8449382
,,,UGA Site Loc,,Colquitt County Extension,,,,,,,,,,"350 Veterans Parkway North, Moultrie, GA, 31788",,-83.7585059,31.1849238,,13,71,343936,13071,Colquitt,Colquitt County,6,H1,G4020,,34220,,A,1409383647,32304996,31.1897575,-83.7697405
,,,UGA Site Loc,,Crawford County Extension,,,,,,,,,,"100 Wright Ave., Roberta, GA, 31078",,-84.0108141,32.7210848,,13,79,342918,13079,Crawford,Crawford County,6,H1,G4020,356,31420,,A,841521493,3989489,32.7094283,-83.9791874
,,,UGA Site Loc,,Crisp County Extension,,,,,,,,,,"110 West 13th Ave., Suite C, Cordele, GA, 31015",,-83.783433,31.967234,,13,81,351607,13081,Crisp,Crisp County,6,H1,G4020,,18380,,A,705989189,21671085,31.9147534,-83.7533381
,,,UGA Site Loc,,Dade County Extension,,,,,,,,,,"114 Pace Drive, Trenton, GA, 30752",,-85.5188788,34.8699962,,13,83,347465,13083,Dade,Dade County,6,H1,G4020,174,16860,,A,450605025,467844,34.8524237,-85.5062006
,,,UGA Site Loc,,Dawson County Extension,,,,,,,,,,"298 Academy Ave., Dawsonville, GA, 30534",,-84.1195787,34.4202071,,13,85,351312,13085,Dawson,Dawson County,6,H1,G4020,122,12060,,A,546042466,9272855,34.4428421,-84.1732841
,,,UGA Site Loc,,Dodge County Extension,,,,,,,,,,"230 Foster Street, Suite A, Eastman, GA, 31023",,-83.1738206,32.1980601,,13,91,348116,13091,Dodge,Dodge County,6,H1,G4020,,,,A,1284365335,18692940,32.1602346,-83.1562413
,,,UGA Site Loc,,Dooly County Extension,,,,,,,,,,"402 Hawkinsville Road, Suite 8, Vienna, GA, 31092",,-83.7799081,32.0959896,,13,93,351608,13093,Dooly,Dooly County,6,H1,G4020,,,,A,1015120169,13841084,32.1519954,-83.807167
,,,UGA Site Loc,,Dougherty County Extension,,,,,,,,,,"125 Pine Avenue, Suite 100, Albany, GA, 31701",,-84.1503563,31.5789023,,13,95,351259,13095,Dougherty,Dougherty County,6,H1,G4020,,10500,,A,851140270,15396050,31.5325876,-84.20904
,,,UGA Site Loc,,Effingham County Extension,,,,,,,,,,"284 Hwy. #119 South, Springfield, GA, 31329",,-81.3166038,32.3684649,,13,103,350219,13103,Effingham,Effingham County,6,H1,G4020,496,42340,,A,1237246284,13537765,32.3617106,-81.3433367
,,,UGA Site Loc,,Evans County Extension,,,,,,,,,,"102 Daniel St., Claxton, GA, 30417",,-81.9064569,32.1632366,,13,109,345923,13109,Evans,Evans County,6,H1,G4020,,,,A,473607497,10382490,32.1519021,-81.887618
,,,UGA Site Loc,,Fannin County Extension,,,,,,,,,,"205 Church St., Suite 1, Blue Ridge, GA, 30513",,-84.3264593,34.8647985,,13,111,351094,13111,Fannin,Fannin County,6,H1,G4020,,,,A,1002058824,13560698,34.866497,-84.3174397
,,,UGA Site Loc,,Franklin County Extension,,,,,,,,,,"280 Busha Rd., Suite A, Carnesville, GA, 30521",,-83.2227073,34.3773527,,13,119,349324,13119,Franklin,Franklin County,6,H1,G4020,,,,A,677301787,12803554,34.3751554,-83.2272905
,,,UGA Site Loc,,Glascock County Extension,,,,,,,,,,"676 W. Main St., Gibson, GA, 30810",,-82.6069682,33.2313399,,13,125,345642,13125,Glascock,Glascock County,6,H1,G4020,,,,A,372283962,1847844,33.2274908,-82.6069126
,,,UGA Site Loc,,Hall County Extension,,,,,,,,,,"734 E. Crescent Drive, Gainesville, GA, 30501",,-83.7906445,34.3140914,,13,139,1686953,13139,Hall,Hall County,6,H1,G4020,122,23580,,A,1017305163,94563088,34.3175876,-83.8184973
,,,UGA Site Loc,,Hancock County Extension,,,,,,,,,,"12534 Augusta Hwy, Sparta, GA, 31087",,-82.966674,33.277407,,13,141,348209,13141,Hancock,Hancock County,6,H1,G4020,,33300,,A,1220057466,17479735,33.2692195,-83.0004653
,,,UGA Site Loc,,Haralson County Extension,,,,,,,,,,"4266 Georgia Hwy 120, Buchanan, GA, 30113",,-85.1871779,33.7894968,,13,143,350637,13143,Haralson,Haralson County,6,H1,G4020,122,12060,,A,730804126,2616002,33.7951649,-85.2200622
,,,UGA Site Loc,,Harris County Extension,,,,,,,,,,"121 N. Old College St., Hamilton, GA, 31811",,-84.8752068,32.7594936,,13,145,326700,13145,Harris,Harris County,6,H1,G4020,194,17980,,A,1201461944,23488481,32.7315494,-84.912432
,,,UGA Site Loc,,Heard County Extension,,,,,,,,,,"101 Glover, Franklin, GA, 30217",,-85.1038948,33.2780035,,13,149,347067,13149,Heard,Heard County,6,H1,G4020,122,12060,,A,766718873,13112095,33.2909683,-85.1395936
,,,UGA Site Loc,,Jeff davis County Extension,,,,,,,,,,"14 Jeff Davis St., Hazlehurst, GA, 31539",,-82.6008108,31.8626007,,13,161,1687999,13161,Jeff Davis,Jeff Davis County,6,H1,G4020,,,,A,856624688,12052223,31.8116153,-82.6368248
,,,UGA Site Loc,,Jefferson County Extension,,,,,,,,,,"2529 US Hwy. #1 North, Louisville, GA, 30434",,-82.4531595,31.6358229,,13,5,344784,13005,Bacon,Bacon County,6,H1,G4020,,,,A,670556131,69720651,31.5633274,-82.3878591
,,,UGA Site Loc,,Jenkins County Extension,,,,,,,,,,"434 E. Barney Ave., Millen, GA, 30442",,-81.936773,32.8087599,,13,165,342985,13165,Jenkins,Jenkins County,6,H1,G4020,,,,A,899449076,13452217,32.7945631,-81.9715244
,,,UGA Site Loc,,Johnson County Extension,,,,,,,,,,"239 Trojan Way, Wrightsville, GA, 31096",,-82.719859,32.7293279,,13,167,346664,13167,Johnson,Johnson County,6,H1,G4020,,20140,,A,784793437,9278548,32.6898312,-82.6613536
,,,UGA Site Loc,,Lanier County Extension,,,,,,,,,,"162 West Thigpen Avenue, Lakeland, GA, 31635",,-83.0899534,31.0423001,,13,173,348102,13173,Lanier,Lanier County,6,H1,G4020,,46660,,A,479903181,37546552,31.0381973,-83.0631635
,,,UGA Site Loc,,Laurens County Extension,,,,,,,,,,"1511-A Telfair St., Dublin, GA, 31021",,-82.9183461,32.5232845,,13,175,346568,13175,Laurens,Laurens County,6,H1,G4020,,20140,,A,2090902617,28925882,32.3932197,-82.9263171
,,,UGA Site Loc,,Lee County Extension,,,,,,,,,,"107 107 Main Street, Leesburg, GA, 31763",,-84.1709433,31.7322274,,13,177,343390,13177,Lee,Lee County,6,H1,G4020,,10500,,A,921723018,15318713,31.8184185,-84.1466814
,,,UGA Site Loc,,Liberty County Extension,,,,,,,,,,"100 Main St.  Suite 1200, Hinesville, GA, 31313",,-81.5958405,31.847577,,13,179,357095,13179,Liberty,Liberty County,6,H1,G4020,496,25980,,A,1270160319,290378400,31.8072964,-81.4578642
,,,UGA Site Loc,,Lincoln County Extension,,,,,,,,,,"288 N. Peachtree St., Lincolnton, GA, 30817",,-82.4774051,33.7973664,,13,181,1688000,13181,Lincoln,Lincoln County,6,H1,G4020,,,,A,544880756,121517071,33.7921507,-82.4482992
,,,UGA Site Loc,,Long County Extension,,,,,,,,,,"479 S. McDonald St.  Suite C, Ludowici, GA, 31316",,-81.7410851,31.7078224,,13,183,326719,13183,Long,Long County,6,H1,G4020,496,25980,,A,1036970279,8901385,31.7495633,-81.7428697
,,,UGA Site Loc,,Lumpkin County Extension,,,,,,,,,,"26 Johnson Street, Dahlonega, GA, 30533",,-83.9819809,34.534797,,13,187,357196,13187,Lumpkin,Lumpkin County,6,H1,G4020,,,,A,732793135,3273364,34.568135,-83.9989062
,,,UGA Site Loc,,Macon County Extension,,,,,,,,,,"105 S. Sumter Street, Oglethorpe, GA, 31068",,-84.0572032,32.2855086,,13,193,346957,13193,Macon,Macon County,6,H1,G4020,,,,A,1037654095,13859174,32.3662155,-84.0521624
,,,UGA Site Loc,,Madison County Extension,,,,,,,,,,"97 Sunset Dr., Danielsville, GA, 30633",,-83.2148361,34.1307913,,13,195,1688004,13195,Madison,Madison County,6,H1,G4020,,12020,,A,731184761,8484186,34.1284838,-83.203644
,,,UGA Site Loc,,Marion County Extension,,,,,,,,,,"111 Baker Street, Buena Vista, GA, 31803",,-84.5197991,32.319072,,13,197,344107,13197,Marion,Marion County,6,H1,G4020,194,17980,,A,947978202,3791370,32.3595381,-84.5295606
,,,UGA Site Loc,,McDuffie County Extension,,,,,,,,,,"377 Main St., Rm. 108, Thomson, GA, 30824",,-82.5048146,33.47008,,13,189,348794,13189,McDuffie,McDuffie County,6,H1,G4020,,12260,,A,666825167,23116183,33.4824637,-82.473188
,,,UGA Site Loc,,Mcintosh County Extension,,,,,,,,,,"102 Jefferson St., Darien, GA, 31305",,-81.4337451,31.3713945,,13,191,356886,13191,McIntosh,McIntosh County,6,H1,G4020,,15260,,A,1098984242,387392530,31.4829776,-81.3701993
,,,UGA Site Loc,,Meriwether County Extension,,,,,,,,,,"126 North Court Sqaure, Greenville, GA, 30222",,-84.7132959,33.0291915,,13,199,346892,13199,Meriwether,Meriwether County,6,H1,G4020,122,12060,,A,1298161669,10834134,33.0302196,-84.6632794
,,,UGA Site Loc,,Mitchell County Extension,,,,,,,,,,"4590 Highway 37 East, Camilla, GA, 31730",,-84.1703142,31.2322958,,13,205,343645,13205,Mitchell,Mitchell County,6,H1,G4020,,,,A,1326293153,4504163,31.228997,-84.192038
,,,UGA Site Loc,,Monroe County Extension,,,,,,,,,,"90 Martin L. King, Jr. Drive, Forsyth, GA, 31029",,-83.9462464,33.0320125,,13,207,343073,13207,Monroe,Monroe County,6,H1,G4020,356,31420,,A,1024750677,5575320,33.0174352,-83.9229376
,,,UGA Site Loc,,Montgomery County Extension,,,,,,,,,,"130 West Broad St., Mount Vernon, GA, 30445",,-82.59644,32.1749388,,13,209,352276,13209,Montgomery,Montgomery County,6,H1,G4020,,47080,,A,620370722,13383037,32.1721081,-82.5333487
,,,UGA Site Loc,,Peach County Extension,,,,,,,,,,"700 Spruce Street, Wing A, Fort Valley, GA, 31030",,-83.883337,32.5458101,,13,225,343153,13225,Peach,Peach County,6,H1,G4020,356,22980,,A,389190345,2676549,32.5713241,-83.8319779
,,,UGA Site Loc,,Pickens County Extension,,,,,,,,,,"109 Depot Street, Jasper, GA, 30143",,-84.42825,34.469231,,13,227,1673011,13227,Pickens,Pickens County,6,H1,G4020,122,12060,,A,601027689,1693936,34.4566255,-84.4902631
,,,UGA Site Loc,,Pierce County Extension,,,,,,,,,,"711 Hendry St., Blackshear, GA, 31516",,-82.2496739,31.3115278,,13,229,349086,13229,Pierce,Pierce County,6,H1,G4020,,48180,,A,822185254,66775943,31.3539879,-82.2104267
,,,UGA Site Loc,,Pike County Extension,,,,,,,,,,"74 Gwyn Street, Zebulon, GA, 30295",,-84.3440553,33.1010339,,13,231,346482,13231,Pike,Pike County,6,H1,G4020,122,12060,,A,559659440,8596795,33.0907685,-84.3866265
,,,UGA Site Loc,,Polk County Extension,,,,,,,,,,"20 N. Main St., Cedartown, GA, 30125",,-85.254318,34.0141022,,13,233,343585,13233,Polk,Polk County,6,H1,G4020,122,16340,,A,803773281,4667496,33.9960153,-85.1883384
,,,UGA Site Loc,,Quitman County Extension,,,,,,,,,,"57 Kaigler Road, Suite 1, Georgetown, GA, 39854",,-85.0835749,31.8815564,,13,239,350547,13239,Quitman,Quitman County,6,H6,G4020,,21640,,C,391703084,24158294,31.8614871,-85.0093171
,,,UGA Site Loc,,Rabun County Extension,,,,,,,,,,"41 Jo Dotson Circle, Suite 1, Clayton, GA, 30525",,-83.4047783,34.8797588,,13,241,351489,13241,Rabun,Rabun County,6,H1,G4020,,,,A,958280750,17841169,34.8830262,-83.4047353
,,,UGA Site Loc,,Screven County Extension,,,,,,,,,,"321 Rocky Ford Rd., Sylvania, GA, 30467",,-81.6513026,32.7491426,,13,251,350204,13251,Screven,Screven County,6,H1,G4020,,,,A,1670803666,27889015,32.7447512,-81.6175849
,,,UGA Site Loc,,Seminole County Extension,,,,,,,,,,"207 East Crawford Street, Donalsonville, GA, 39845",,-84.8798457,31.0430663,,13,253,351263,13253,Seminole,Seminole County,6,H1,G4020,,,,A,609245333,55231559,30.933894,-84.8675915
,,,UGA Site Loc,,Spalding County Extension,,,,,,,,,,"835 Memorial Drive, Griffin, GA, 30224",,-84.249412,33.2443051,,13,255,353055,13255,Spalding,Spalding County,6,H1,G4020,122,12060,,A,508851718,8084962,33.2623888,-84.2860671
,,,UGA Site Loc,,Sumter County Extension,,,,,,,,,,"127 William Bowen Pointe, Americus, GA, 31719",,-84.2518714,32.055693,,13,261,343504,13261,Sumter,Sumter County,6,H1,G4020,,11140,,A,1250175754,25791648,32.0421974,-84.204259
,,,UGA Site Loc,,Tattnall County Extension,,,,,,,,,,"209 Bolton St., Glennville, GA, 30427",,-81.9238197,31.9330654,,13,267,347445,13267,Tattnall,Tattnall County,6,H1,G4020,,,,A,1241559207,23258329,32.0437683,-82.0592081
,,,UGA Site Loc,,Taylor County Extension,,,,,,,,,,"7 Ivy Street, Butler, GA, 31006",,-84.2365031,32.5565324,,13,269,344156,13269,Taylor,Taylor County,6,H1,G4020,,,,A,975612223,7803624,32.5546668,-84.2514261
,,,UGA Site Loc,,Telfair County Extension,,,,,,,,,,"91 Telfair Ave., Suite E, McRae, GA, 31055",,-82.8984443,32.0611429,,13,271,356958,13271,Telfair,Telfair County,6,H1,G4020,,,,A,1132610530,17366940,31.9136387,-82.9310624
,,,UGA Site Loc,,Terrell County Extension,,,,,,,,,,"955 Forrester Drive, Dawson, GA, 39842",,-84.4366179,31.7597936,,13,273,352238,13273,Terrell,Terrell County,6,H1,G4020,,10500,,A,868785070,5861858,31.7771909,-84.4394464
,,,UGA Site Loc,,Thomas County Extension,,,,,,,,,,"227 West Jefferson Street, Thomasville, GA, 31799",,-83.9828392,30.8370399,,13,275,343835,13275,Thomas,Thomas County,6,H1,G4020,,45620,,A,1410508603,19729670,30.8646064,-83.9198196
,,,UGA Site Loc,,Tift County Extension,,,,,,,,,,"1468 Carpenter Road South, Tifton, GA, 31793",,-83.5463359,31.4677261,,13,277,344090,13277,Tift,Tift County,6,H1,G4020,,45700,,A,670826478,25333972,31.4570027,-83.5259307
