Agency,id,Address,City,State,Zip,full_add,lon,lat,type,loctype,neighborhood,locality,administrative_area_level_2
"Essence of Hope, Inc.",P199,2031 Metropolitan Pkwy SW,Atlanta,GA,30315,"2031 Metropolitan Pkwy SW, City, GA  30315",-84.4081967,33.6987501,street_address,rooftop,Sylvan Hills,Atlanta,Fulton County
Center Helping Obesity in Children End Successfull,P090,2805 Metropolitan PKWY SW,Atlanta,GA,30315,"2805 Metropolitan PKWY SW, City, GA  30315",-84.4081488,33.6787973,street_address,rooftop,Hammond Park,Atlanta,Fulton County
Cosmopolitan AME Church,P148,170 Vine Street NW,Atlanta,GA,30314,"170 Vine Street NW, City, GA  30314",-84.407511,33.75955,street_address,rooftop,Vine City,Atlanta,Fulton County
Salvation Army-Ray & Joan Kroc Corps Ctr,P547,967 Dewey Street SW,Atlanta,GA,30310,"967 Dewey Street SW, City, GA  30310",-84.407489,33.7289613,street_address,rooftop,Pittsburgh,Atlanta,Fulton County
Joseph E Lowery Institute for Justice and Human Ri,P335,266 Lee Lane,Atlanta,GA,30314,"266 Lee Lane, City, GA  30314",-84.407433,33.751999,point,manual,NA,Atlanta,Fulton County
Higher Ground Empowerment Center,P303,561 Spencer St. NW,Atlanta,GA,30314,"561 Spencer St. NW, City, GA  30314",-84.4056529,33.7603666,premise,rooftop,Vine City,Atlanta,Fulton County
Kindezi at Gideons,P343,897 Welch St SW,Atlanta,GA,30310,"897 Welch St SW, City, GA  30310",-84.4056216,33.7308133,street_address,rooftop,Pittsburgh,Atlanta,Fulton County
"Antioch Urban Ministries, Inc.",P034,540 CM Alexander Blvd. NW,Atlanta,GA,30318,"540 CM Alexander Blvd. NW, City, GA  30318",-84.405384,33.767839,church,rooftop,English Avenue,Atlanta,Fulton County
Central United Methodist Church,P093,501 Mitchell Street SW,Atlanta,GA,30314,"501 Mitchell Street SW, City, GA  30314",-84.40383,33.7541244,street_address,rooftop,Atlanta University Center,Atlanta,Fulton County
Pittsburgh Kingdom Doors Baptist Church Inc.,P490,884 Coleman St SW,Atlanta,GA,30310,"884 Coleman St SW, City, GA  30310",-84.4038265,33.7307582,premise,rooftop,Pittsburgh,Atlanta,Fulton County
Friendship Tower Apartments,P252,35 Northside Drive SW,Atlanta,GA,30313,"35 Northside Drive SW, City, GA  30313",-84.4032267,33.7535032,street_address,rooftop,Atlanta University Center,Atlanta,Fulton County
The King's Way Bapt Church DBA Atlanta City BRC,P628,316 Peters St.,Atlanta,GA,30313,"316 Peters St., City, GA  30313",-84.4030261,33.7459756,premise,rooftop,Castleberry Hill,Atlanta,Fulton County
Salvation Army Adult Rehabilitation Ctr,P540,740 Marietta St,Atlanta,GA,30318,"740 Marietta St, City, GA  30318",-84.4026098,33.7725744,street_address,rooftop,Marietta Street Artery,Atlanta,Fulton County
Dunbar Elementary,P182,"500 Whitehall Terrace, SW",Atlanta,GA,30312,"500 Whitehall Terrace, SW, City, GA  30312",-84.401286,33.7412855,street_address,rooftop,Mechanicsville,Atlanta,Fulton County
Andrew P. Stewart Center,P029,987 Ira Street SW,Atlanta,GA,30310,"987 Ira Street SW, City, GA  30310",-84.4002146,33.7279833,premise,rooftop,Pittsburgh,Atlanta,Fulton County
The Beloved Community Development Corporation,P622,"1113 Ira St SW,",Atlanta,GA,30310,"1113 Ira St SW,, City, GA  30310",-84.4002146,33.7244578,premise,rooftop,Pittsburgh,Atlanta,Fulton County
Southside Springfield,P581,1094 Garibaldi Street,Atlanta,GA,30310,"1094 Garibaldi Street, City, GA  30310",-84.3990037,33.7249905,premise,rooftop,Pittsburgh,Atlanta,Fulton County
Truly Living Well-Yo! Pittsburgh Food Co-Op,P654,1093 West Ave,Atlanta,GA,30315,"1093 West Ave, City, GA  30315",-84.3965061,33.7249218,street_address,rooftop,Pittsburgh,Atlanta,Fulton County
ReNew Atlanta Corporation,P514,256 Memorial Dr SW,Atlanta,GA,30303,"256 Memorial Dr SW, City, GA  30303",-84.3961714,33.7465789,premise,rooftop,Downtown,Atlanta,Fulton County
Salvation Army Red Shield,P541,469 Luckie Street NW,Atlanta,GA,30313-2099,"469 Luckie Street NW, City, GA  30313-2099",-84.3958355,33.7668431,street_address,rooftop,Downtown,Atlanta,Fulton County
Arthur M. Blank Family Youth YMCA,P037,555 Luckie Street,Atlanta,GA,30313,"555 Luckie Street, City, GA  30313",-84.3954736,33.7703472,premise,rooftop,Downtown,Atlanta,Fulton County
The  Genesis Mission,P618,1121 Fortress Ave.,Atlanta,GA,30315,"1121 Fortress Ave., City, GA  30315",-84.3947142,33.7241651,premise,rooftop,Pittsburgh,Atlanta,Fulton County
Gateway Center,P258,275 Pryor St SW,Atlanta,GA,30303,"275 Pryor St SW, City, GA  30303",-84.3945705,33.7475942,premise,rooftop,Downtown,Atlanta,Fulton County
Renaissance At Park Place,P513,240 Amal Dr. SW,Atlanta,GA,30315,"240 Amal Dr. SW, City, GA  30315",-84.394493,33.706543,street_address,rooftop,Betmar La Villa,Atlanta,Fulton County
Atlanta Union Mission-Men-Shepherd's Inn,P045,156 Mills Street,Atlanta,GA,30313,"156 Mills Street, City, GA  30313",-84.3926495,33.7651624,street_address,rooftop,Downtown,Atlanta,Fulton County
Hope House- Caring Works,P311,275 Washington Rd,Atlanta,GA,30303,"275 Washington Rd, City, GA  30303",-84.3911017,33.7472846,premise,rooftop,Downtown,Atlanta,Fulton County
Shrine of the Immaculate Conception/St.F,P567,48 Martin Luther King Jr. Drive,Atlanta,GA,30303,"48 Martin Luther King Jr. Drive, City, GA  30303",-84.3896238,33.7504376,premise,rooftop,Downtown,Atlanta,Fulton County
Central Outreach & Advocacy Center,P091,"201 Washington St., SW",Atlanta,GA,30303,"201 Washington St., SW, City, GA  30303",-84.3888304,33.7499044,street_address,rooftop,Downtown,Atlanta,Fulton County
After School All Stars,P020,1 Park Place South,Atlanta,GA,30303,"1 Park Place South, City, GA  30303",-84.3887312,33.7543538,street_address,rooftop,Downtown,Atlanta,Fulton County
Emmaus House,P194,1017 Hank Aaron Drive,Atlanta,GA,30315,"1017 Hank Aaron Drive, City, GA  30315",-84.3883512,33.7267927,premise,rooftop,Peoplestown,Atlanta,Fulton County
"Communities in Schools of Atlanta,Inc.",P124,260 Peachtree St,Atlanta,GA,30303,"260 Peachtree St, City, GA  30303",-84.3879612,33.7615226,premise,rooftop,Downtown,Atlanta,Fulton County
Midtown Assistance Center,P392,30 Porter Place NE,Atlanta,GA,30308,"30 Porter Place NE, City, GA  30308",-84.3867634,33.764486,street_address,rooftop,Downtown,Atlanta,Fulton County
Caring for Others Inc,P078,3537 Browns Mill Road Suite 2,Atlanta,GA,30354,"3537 Browns Mill Road Suite 2, City, GA  30354",-84.3866474,33.6601216,subpremise,rooftop,Glenrose Heights,Atlanta,Fulton County
"First Presbyterian Church, Atlanta",P230,1328 Peachtree Street,Atlanta,GA,30309,"1328 Peachtree Street, City, GA  30309",-84.3856084,33.7907208,street_address,rooftop,Midtown,Atlanta,Fulton County
Georgia Avenue Co-op - Jonesboro Road,P260,1297 Jonesboro Road,Atlanta,GA,30315,"1297 Jonesboro Road, City, GA  30315",-84.3852157,33.7190564,street_address,rooftop,South Atlanta,Atlanta,Fulton County
Atlanta Inner- City Ministry Inc,P044,"1966 Lakewood Terrace, SE",Atlanta,GA,30315,"1966 Lakewood Terrace, SE, City, GA  30315",-84.3849641,33.7016311,premise,rooftop,Lakewood Heights,Atlanta,Fulton County
Community Friendship-Social Club,P133,"85 Renaissance Pkwy., NE",Atlanta,GA,30308,"85 Renaissance Pkwy., NE, City, GA  30308",-84.3846151,33.7683969,premise,rooftop,Downtown,Atlanta,Fulton County
St. Luke's Episcopal Church - Crossroads,P589,420 Courtland Street NE,Atlanta,GA,30308,"420 Courtland Street NE, City, GA  30308",-84.3844099,33.7661254,premise,rooftop,Downtown,Atlanta,Fulton County
Sandy Springs UMC,P549,86 Mt. Vernon Highway,Atlanta,GA,30328,"86 Mt. Vernon Highway, City, GA  30328",-84.3841381,33.9235597,street_address,rooftop,NA,Sandy Springs,Fulton County
Mount Pleasant Baptist Church,P402,17 Meldon Avenue,Atlanta,GA,30315,"17 Meldon Avenue, City, GA  30315",-84.3838145,33.7116786,premise,rooftop,South Atlanta,Atlanta,Fulton County
Maranatha Community Services Food Pantry,P382,2730 Brown Mill Road,Atlanta,GA,30354,"2730 Brown Mill Road, City, GA  30354",-84.3835682,33.6799715,premise,rooftop,Rosedale Heights,Atlanta,Fulton County
D. H. Stanton Elementary,P162,"970 Martin St, SE",Atlanta,GA,30315,"970 Martin St, SE, City, GA  30315",-84.3826764,33.7281397,street_address,rooftop,Peoplestown,Atlanta,Fulton County
Lutheran Towers,P379,727Juniper St. NE,Atlanta,GA,30308,"727Juniper St. NE, City, GA  30308",-84.3826649,33.774464,premise,rooftop,Midtown,Atlanta,Fulton County
"Faith Open Door Community, Inc.",P207,259 Arrowhead Blvd,Jonesboro,GA,30236,"259 Arrowhead Blvd, City, GA  30236",-84.3823365,33.5762199,premise,rooftop,NA,Jonesboro,Clayton County
Project Open Hand,P496,"176 Ottley Dr., NE",Atlanta,GA,30324,"176 Ottley Dr., NE, City, GA  30324",-84.3823365,33.8085482,premise,rooftop,Armour,Atlanta,Fulton County
Word of God In Christ Full Gospel,P686,1401 Lakewood Avenue SE,Atlanta,GA,30315,"1401 Lakewood Avenue SE, City, GA  30315",-84.3817411,33.7160463,premise,rooftop,South Atlanta,Atlanta,Fulton County
Butler St. CME Church,P070,23 Jesse Hill Drive SE,Atlanta,GA,30303,"23 Jesse Hill Drive SE, City, GA  30303",-84.3811231,33.7539492,street_address,rooftop,Downtown,Atlanta,Fulton County
Greater Works Miss. Baptist Church,P284,285 Morrow Road,Forest Park,GA,30297,"285 Morrow Road, City, GA  30297",-84.3809405,33.5911516,premise,rooftop,NA,Forest Park,Clayton County
Odyssey III- Community Concerns,P468,276 Decatur St.,Atlanta,GA,30312,"276 Decatur St., City, GA  30312",-84.3807762,33.749927,premise,rooftop,Sweet Auburn,Atlanta,Fulton County
Brotherhood of the Cross and Star Central Bethel I,P068,345 Blair Villa Dr,Atlanta,GA,30354,"345 Blair Villa Dr, City, GA  30354",-84.3801193,33.6577783,premise,rooftop,Blair Villa/Poole Creek,Hapeville,Fulton County
Living Faith Tabernacle,P368,5880 Old Dixie Road,Forrest Park,GA,30297,"5880 Old Dixie Road, City, GA  30297",-84.3777169,33.5963887,street_address,range_interpolated,NA,Forest Park,Clayton County
Butler Street Baptist Church,P071,315 Ralph McGill Blvd. NE,Atlanta,GA,30312,"315 Ralph McGill Blvd. NE, City, GA  30312",-84.3774914,33.7637878,premise,rooftop,Old Fourth Ward,Atlanta,Fulton County
Girls on the Run of Atlanta Inc.,P264,"1904 Monroe Dr NE Ste 100,",Atlanta,GA,30324,"1904 Monroe Dr NE Ste 100,, City, GA  30324",-84.3769165,33.8073449,subpremise,rooftop,Piedmont Heights,Atlanta,Fulton County
Urban Recipe - Co-op #2,P662,645 Grant St. SE,Atlanta,GA,30312,"645 Grant St. SE, City, GA  30312",-84.3766702,33.7369467,premise,rooftop,Grant Park,Atlanta,Fulton County
Urban Recipe- Co-op #1,P663,645 Grant Street,Atlanta,GA,30312,"645 Grant Street, City, GA  30312",-84.3766702,33.7369467,premise,rooftop,Grant Park,Atlanta,Fulton County
Humphries Elementary,P316,"3029 Humphries Dr, SE",Atlanta,GA,30354,"3029 Humphries Dr, SE, City, GA  30354",-84.3761648,33.6719054,street_address,rooftop,Orchard Knob,Atlanta,Fulton County
The Love of Giving Inc.,P629,512 Grant ST,Atlanta,GA,30312,"512 Grant ST, City, GA  30312",-84.3759516,33.7406348,premise,rooftop,Grant Park,Atlanta,Fulton County
Wheat St. Bapt.-Action Mission Ministry,P678,359 Auburn Ave NE,Atlanta,GA,30312,"359 Auburn Ave NE, City, GA  30312",-84.3757248,33.7554122,street_address,rooftop,Sweet Auburn,Atlanta,Fulton County
Rosaleana's Community Development Center Inc,P533,350 Schoen St SE,Atlanta,GA,30315,"350 Schoen St SE, City, GA  30315",-84.3756333,33.7043308,premise,rooftop,Lakewood Heights,Atlanta,Fulton County
International Christian Fellowship,P321,3076 Humphries Drive SE,Atlanta,GA,30354,"3076 Humphries Drive SE, City, GA  30354",-84.3753511,33.6713208,street_address,range_interpolated,Orchard Knob,Atlanta,Fulton County
Community Friendship - O'Hearn House,P131,16 William Holmes Borders Dr.,Atlanta,GA,30312,"16 William Holmes Borders Dr., City, GA  30312",-84.3751923,33.7539428,street_address,rooftop,Sweet Auburn,Atlanta,Fulton County
Truly Living Well-Yo! Blvd Food Co-Op,P653,355 North Ave NE,Atlanta,GA,30308,"355 North Ave NE, City, GA  30308",-84.3751612,33.7708237,street_address,rooftop,Old Fourth Ward,Atlanta,Fulton County
"P.E.A.C.E./Operation Peace, INC.",P477,366 Pine Street NE,Atlanta,GA,30308,"366 Pine Street NE, City, GA  30308",-84.374839,33.7682675,street_address,range_interpolated,Old Fourth Ward,Atlanta,Fulton County
Ebenezer Baptist Church,P189,407 Auburn Avenue,Atlanta,GA,30312,"407 Auburn Avenue, City, GA  30312",-84.3742064,33.7551977,premise,rooftop,Sweet Auburn,Atlanta,Fulton County
St. John Eastern Orthodox Church,P588,543 Cherokee Avenue SE,Atlanta,GA,30312,"543 Cherokee Avenue SE, City, GA  30312",-84.373968,33.739839,street_address,rooftop,Grant Park,Atlanta,Fulton County
SVDP St. Philip Benizi Catholic Church,P607,591 Flint River Road,Jonesboro,GA,30238,"591 Flint River Road, City, GA  30238",-84.3730603,33.5193262,street_address,rooftop,NA,Jonesboro,Clayton County
Community Support Services Inc.,P138,1422 Piedmont Ave NE,Atlanta,GA,30309,"1422 Piedmont Ave NE, City, GA  30309",-84.3728848,33.7937663,street_address,rooftop,Ansley Park,Atlanta,Fulton County
Atlanta Center  for Self Sufficiency / Cafe 458,P041,458 Edgewood Avenue SE,Atlanta,GA,30312,"458 Edgewood Avenue SE, City, GA  30312",-84.3727011,33.7543963,street_address,rooftop,Sweet Auburn,Atlanta,Fulton County
Dobbs Elementary,P178,"2025 Jonesboro Rd, SE",Atlanta,GA,30315,"2025 Jonesboro Rd, SE, City, GA  30315",-84.3723821,33.698284,street_address,rooftop,Lakewood,Atlanta,Fulton County
Fort Street United Methodist Church,P246,562 Boulevard NE,Atlanta,GA,30308,"562 Boulevard NE, City, GA  30308",-84.3722195,33.7694733,street_address,rooftop,Old Fourth Ward,Atlanta,Fulton County
Action Ministries-Women's Community Kitchen,P016,458 Ponce de Leon Ave NE,Atlanta,GA,30308,"458 Ponce de Leon Ave NE, City, GA  30308",-84.3719889,33.7738913,premise,rooftop,Midtown,Atlanta,Fulton County
Our Lady of Lourdes Catholic Church,P474,29 Boulevard NE,Atlanta,GA,30312,"29 Boulevard NE, City, GA  30312",-84.3718246,33.7550023,premise,rooftop,Old Fourth Ward,Atlanta,Fulton County
Youthserv360 Inc.,P694,4296 Hendrix Dr,Forest Park,GA,30297,"4296 Hendrix Dr, City, GA  30297",-84.3711388,33.6373807,street_address,range_interpolated,NA,Forest Park,Clayton County
First Baptist- Forest Park,P224,634 Main Street,Forest Park,GA,30297,"634 Main Street, City, GA  30297",-84.3692754,33.6229643,premise,rooftop,NA,Forest Park,Clayton County
Buckhead Christian Ministry,P069,2847 Piedmont Rd. NE,Atlanta,GA,30305,"2847 Piedmont Rd. NE, City, GA  30305",-84.3675331,33.8324618,premise,rooftop,Buckhead,Atlanta,Fulton County
World Harvest Church-High Hope,P689,320 Hardscrabble Road,Roswell,GA,30075,"320 Hardscrabble Road, City, GA  30075",-84.3669377,34.0725972,premise,rooftop,NA,Roswell,Fulton County
"New Life Tabernacle COGIC, Inc.",P437,715 Cleveland Avenue SE,Atlanta,GA,30354,"715 Cleveland Avenue SE, City, GA  30354",-84.3666059,33.6785183,street_address,rooftop,South River Gardens,Atlanta,Fulton County
Restoration & Deliverance COGIC,P516,721  Morrow Rd.,Forest Park,GA,30297,"721  Morrow Rd., City, GA  30297",-84.3665336,33.5900829,street_address,rooftop,NA,Forest Park,Clayton County
Benteen Elementary,P053,200 Cassanova St SE,Atlanta,GA,30315-4208,"200 Cassanova St SE, City, GA  30315-4208",-84.3646028,33.7163181,street_address,rooftop,Benteen,Atlanta,Fulton County
Central Spanish S.D.A,P092,5241 Ash Street,Forest Park,GA,30297,"5241 Ash Street, City, GA  30297",-84.3641038,33.6115675,premise,rooftop,NA,Forest Park,Clayton County
Lost-N-Found Youth Inc,P371,"729 Lambert Drive, NE",Atlanta,GA,30324,"729 Lambert Drive, NE, City, GA  30324",-84.3638069,33.8120873,street_address,rooftop,Lindridge-Martin Manor,Atlanta,Fulton County
South Atlanta High,P575,800 Hutchens Rd SE,Atlanta,GA,30354,"800 Hutchens Rd SE, City, GA  30354",-84.3619385,33.6708384,street_address,rooftop,South River Gardens,Atlanta,Fulton County
Reynoldstown Senior Residences,P517,695 Field St. SE,Atlanta,GA,30316,"695 Field St. SE, City, GA  30316",-84.3611467,33.7513829,premise,rooftop,Reynoldstown,Atlanta,Fulton County
"Bible Way Ministries International, Inc.",P059,894 Constitution Rd SE,Atlanta,GA,30315,"894 Constitution Rd SE, City, GA  30315",-84.3605994,33.6937038,street_address,rooftop,Norwood Manor,Atlanta,Fulton County
Pleasant Hill Missionary Baptist Church,P494,728 Bush Street,Roswell,GA,30075,"728 Bush Street, City, GA  30075",-84.3603047,34.018359,premise,rooftop,NA,Roswell,Fulton County
Forest Park Elementary,P244,"930 Finely Dr,",Atlanta,GA,30297,"930 Finely Dr,, City, GA  30297",-84.3593394,33.6215469,premise,rooftop,NA,Forest Park,Clayton County
Haitian Ministry Theophile Church in Chr,P289,930 Custer Avenue SE,Atlanta,GA,30316,"930 Custer Avenue SE, City, GA  30316",-84.35779,33.7174444,street_address,rooftop,Custer/McDonough/Guice,Atlanta,Fulton County
Jonesboro First UMC Food Co Op,P334,142 South Main Street,Jonesboro,GA,30236,"142 South Main Street, City, GA  30236",-84.3553326,33.5195744,street_address,rooftop,NA,Jonesboro,Clayton County
Thomasville Heights Elementary,P642,"1820 Henry Thomas Dr, SE",Atlanta,GA,30315,"1820 Henry Thomas Dr, SE, City, GA  30315",-84.3548373,33.7043013,street_address,rooftop,Thomasville Heights,Atlanta,Fulton County
Intown Collaborative Ministries Inc,P327,1026 Ponce De Leon Ave. NE,Atlanta,GA,30306,"1026 Ponce De Leon Ave. NE, City, GA  30306",-84.3538352,33.7744553,street_address,rooftop,Virginia Highland,Atlanta,Fulton County
Intown Collaborative Ministries,P323,1050 Ponce de Leon Ave NE,Atlanta,GA,30307,"1050 Ponce de Leon Ave NE, City, GA  30307",-84.353445,33.7743288,premise,rooftop,Virginia Highland,Atlanta,Fulton County
Intown Collaborative Ministries,P324,1050 Ponce De Leon Ave NE,Atlanta,GA,30307,"1050 Ponce De Leon Ave NE, City, GA  30307",-84.353445,33.7743288,premise,rooftop,Virginia Highland,Atlanta,Fulton County
South Atlanta Asian Community,P574,4917 Jonesboro Road,Forest Park,GA,30297,"4917 Jonesboro Road, City, GA  30297",-84.351961,33.6202241,street_address,range_interpolated,NA,Forest Park,Clayton County
Andrews Chapel United Methodist Church,P030,122 Watterson Street,Jonesboro,GA,30236,"122 Watterson Street, City, GA  30236",-84.3517813,33.5252972,premise,rooftop,NA,Jonesboro,Clayton County
Vietnamese Elder Association South,P667,1171 Main St.,Forrest Park,GA,30297,"1171 Main St., City, GA  30297",-84.351617,33.618145,premise,rooftop,NA,Forest Park,Clayton County
Intown Collaborative Ministries Booth Towers CoOp1,P326,"1125 Ponce de Leon Avenue, NE",Atlanta,GA,30306,"1125 Ponce de Leon Avenue, NE, City, GA  30306",-84.3503024,33.7733369,premise,rooftop,Poncey-Highland,Atlanta,Fulton County
Community Assistance Center,P126,1130 Hightower Trail,Sandy Springs,GA,30350,"1130 Hightower Trail, City, GA  30350",-84.3501381,33.988321,premise,rooftop,NA,Atlanta,Fulton County
"The Providers, Inc.",P634,799 Moreland Ave SE.,Atlanta,GA,30316,"799 Moreland Ave SE., City, GA  30316",-84.3496657,33.7325606,premise,rooftop,Ormewood Park,Atlanta,Fulton County
East Atlanta Kids Club,P184,602 Brownwood Avenue SE,Atlanta,GA,30316,"602 Brownwood Avenue SE, City, GA  30316",-84.3479392,33.7377778,street_address,rooftop,East Atlanta,Atlanta,DeKalb County
Fulton Atlanta Community Action Authority,P253,1690 Chantilly Dr.,Atlanta,GA,30324,"1690 Chantilly Dr., City, GA  30324",-84.3473248,33.825064,street_address,rooftop,Lavista Park,Atlanta,DeKalb County
Total Victory Worship,P648,1320 Rockcut Rd,Forest Park,GA,30297,"1320 Rockcut Rd, City, GA  30297",-84.3461942,33.6371547,premise,rooftop,NA,Forest Park,Clayton County
Latin American Association,P351,2750 Buford Highway,Atlanta,GA,30324,"2750 Buford Highway, City, GA  30324",-84.346071,33.8290248,premise,rooftop,NA,Atlanta,DeKalb County
Iskcon of Atlanta,P328,1287 S. Ponce de Leon Ave,Atlanta,GA,30306,"1287 S. Ponce de Leon Ave, City, GA  30306",-84.3451466,33.7734708,premise,rooftop,Druid Hills,Atlanta,DeKalb County
Clayton Community Services Board,P118,1396 Southlake Plaza Drive,Morrow,GA,30260,"1396 Southlake Plaza Drive, City, GA  30260",-84.3450672,33.5783431,street_address,range_interpolated,NA,Morrow,Clayton County
"Community Outreach In Action, Inc.",P136,7681 Southlake Parkway,Jonesboro,GA,30236,"7681 Southlake Parkway, City, GA  30236",-84.3437292,33.5450783,premise,rooftop,NA,Jonesboro,Clayton County
ATL Projects,P039,6965 Commercial Drive,Morrow,GA,30260,"6965 Commercial Drive, City, GA  30260",-84.3420858,33.5648855,premise,rooftop,NA,Morrow,Clayton County
Freedom Community Ministries Inc.,P249,6928 Commercial Dr,Morrow,GA,30260,"6928 Commercial Dr, City, GA  30260",-84.3410995,33.5661266,street_address,range_interpolated,NA,Morrow,Clayton County
For His Brothers Food Pantry,P243,1600 Conley Road,Conley,GA,30288,"1600 Conley Road, City, GA  30288",-84.3374931,33.6475321,street_address,rooftop,NA,Conley,DeKalb County
Woodward Elementary,P684,3034 Curtis Dr NE,Atlanta,GA,30319,"3034 Curtis Dr NE, City, GA  30319",-84.3373578,33.8413645,street_address,rooftop,NA,Atlanta,DeKalb County
Morrow Presbyterian Church,P400,6171 Huie Drive,Morrow,GA,30260,"6171 Huie Drive, City, GA  30260",-84.3366966,33.5863647,street_address,rooftop,NA,Morrow,Clayton County
North Fulton Community Charities,P456,11270 Elkins Road,Roswell,GA,30076,"11270 Elkins Road, City, GA  30076",-84.3357171,34.0532983,premise,rooftop,NA,Roswell,Fulton County
Cowart Family YMCA,P154,3692 Ashford Dunwoody Rd,Atlanta,GA,30319,"3692 Ashford Dunwoody Rd, City, GA  30319",-84.3333749,33.8989743,premise,rooftop,North Brookhaven,Atlanta,DeKalb County
Atlanta Blvd. SDA Community Center,P040,"240 Maynard Terrace, SE",Atlanta,GA,30316,"240 Maynard Terrace, SE, City, GA  30316",-84.3327519,33.7465991,street_address,rooftop,Kirkwood,Atlanta,DeKalb County
Toco Hills Community Alliance,P647,1790 LaVista Road,Atlanta,GA,30329,"1790 LaVista Road, City, GA  30329",-84.3287877,33.817871,street_address,rooftop,Merry Hills,Atlanta,DeKalb County
"Clifton Sanctuary Ministries, Inc.",P119,369 Connecticut Ave NE,Atlanta,GA,30307,"369 Connecticut Ave NE, City, GA  30307",-84.3281148,33.7643163,premise,rooftop,Lake Claire,Atlanta,DeKalb County
Senior Day Out,P557,1879 Glenwood Avenue,Atlanta,GA,30316,"1879 Glenwood Avenue, City, GA  30316",-84.3257312,33.7393195,premise,rooftop,NA,Atlanta,DeKalb County
The Greater Piney Grove Community Development,P626,1879 Glenwood Avenue,Atlanta,GA,30316,"1879 Glenwood Avenue, City, GA  30316",-84.3257312,33.7393195,premise,rooftop,NA,Atlanta,DeKalb County
Eugene and Scilla Rice Ministries,P200,110 Howard Street NE,Atlanta,GA,30317,"110 Howard Street NE, City, GA  30317",-84.3236763,33.7550633,premise,rooftop,Kirkwood,Atlanta,DeKalb County
Intown Collaborative Ministries,P325,1660 N. Decatur Road,Atlanta,GA,30307,"1660 N. Decatur Road, City, GA  30307",-84.3233896,33.78879,premise,rooftop,NA,Atlanta,DeKalb County
Chris 180,P098,1017 Fayetteville Rd,Atlanta,GA,30316,"1017 Fayetteville Rd, City, GA  30316",-84.3219501,33.7266127,premise,rooftop,East Atlanta,Atlanta,DeKalb County
Calvary New Life Tabernacle UPC,P074,3342-A International Park Drive SE,Atlanta,GA,30316,"3342-A International Park Drive SE, City, GA  30316",-84.3205527,33.686849,premise,rooftop,NA,Atlanta,DeKalb County
Travelers Rest MBC - Glad Morning Comm.,P650,2112 Rex Road,Morrow,GA,30260,"2112 Rex Road, City, GA  30260",-84.319807,33.599949,street_address,rooftop,NA,Morrow,Clayton County
The Church of God for All Nations,P623,2295 Bouldercrest Road SE,Atlanta,GA,30316,"2295 Bouldercrest Road SE, City, GA  30316",-84.3195608,33.6895447,street_address,rooftop,NA,Atlanta,DeKalb County
Episcopal Church of the Epiphany,P196,2089 Ponce de Leon Avenue NE,Atlanta,GA,30307,"2089 Ponce de Leon Avenue NE, City, GA  30307",-84.3194509,33.770873,street_address,rooftop,NA,Atlanta,DeKalb County
Yad L'Yad Charity Fund Inc.,P690,2056 Lavista Rd NE,Atlanta,GA,30329,"2056 Lavista Rd NE, City, GA  30329",-84.3174714,33.8155663,street_address,range_interpolated,Merry Hills,Atlanta,DeKalb County
Briarcliff Oaks Inc.,P066,2982 Briarcliff Rd NE,Atlanta,GA,30329,"2982 Briarcliff Rd NE, City, GA  30329",-84.3161958,33.8376082,premise,rooftop,NA,Atlanta,DeKalb County
Jewish Family Services-Food Pantry,P332,4549 Chamblee Dunwoody Road,Atlanta,GA,30338,"4549 Chamblee Dunwoody Road, City, GA  30338",-84.3145105,33.9252526,premise,rooftop,NA,Dunwoody,DeKalb County
Fannin County Family Connection,P215,101 Industrial Park Road,Blue Ridge,GA,30513,"101 Industrial Park Road, City, GA  30513",-84.3113481,34.8843384,street_address,rooftop,NA,Blue Ridge,Fannin County
"Oakhurst Recovery Program, INC",P467,232 East Lake Drive,Decatur,GA,30030,"232 East Lake Drive, City, GA  30030",-84.3108726,33.762632,premise,rooftop,Oakhurst,Decatur,DeKalb County
Enough to Share,P195,560 Fayetteville Rd SE,Atlanta,GA,30316,"560 Fayetteville Rd SE, City, GA  30316",-84.3107345,33.7384493,street_address,rooftop,NA,Atlanta,DeKalb County
Mercy Park,P387,5124 Peachtree rd.,Chamblee,GA,30341,"5124 Peachtree rd., City, GA  30341",-84.3098163,33.8870171,street_address,rooftop,NA,Chamblee,DeKalb County
Not By Bread Alone,P464,2727 Bouldercrest Road,Atlanta,GA,30316,"2727 Bouldercrest Road, City, GA  30316",-84.3092488,33.6804517,premise,rooftop,NA,Atlanta,DeKalb County
Chamblee Senior Residences,P094,3381 Malone Dr.,Chamblee,GA,30341,"3381 Malone Dr., City, GA  30341",-84.3065767,33.8895734,street_address,rooftop,NA,Atlanta,DeKalb County
Flat Shoals United Methodist Church,P237,2400 Flat Shoals Road,Decatur,GA,30032,"2400 Flat Shoals Road, City, GA  30032",-84.3065529,33.719193,street_address,rooftop,NA,Decatur,DeKalb County
Seventh Day Adventist- Dunwoody Hispanic,P559,2197 Peeler Road,Dunwoody,GA,30338,"2197 Peeler Road, City, GA  30338",-84.3049322,33.934755,premise,rooftop,NA,Dunwoody,DeKalb County
St. Vincent De Paul Society-Administrati,P594,2050 Chamblee Tucker Road Suite C,Atlanta,GA,30341,"2050 Chamblee Tucker Road Suite C, City, GA  30341",-84.3043045,33.8862106,subpremise,rooftop,NA,Chamblee,DeKalb County
